,precision,recall,f1-score,support
negative,1.0,0.00909090909090909,0.018018018018018018,110.0
neutral,0.6589327146171694,0.9947460595446584,0.7927424982554082,571.0
positive,0.6542056074766355,0.2422145328719723,0.35353535353535354,289.0
accuracy,0.6587628865979381,0.6587628865979381,0.6587628865979381,0.6587628865979381
macro avg,0.7710461073646017,0.41535050050251326,0.38809862326959327,970.0
weighted avg,0.6962020624815994,0.6587628865979381,0.5740305831521003,970.0
